group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
2587,,low,2,216.3,218.6,2.3,217.45,0.010577,1.010633,36.4,cube,3522,"钢管混凝土偏心受压承载力的试验及理论研究, 赵均海; 顾强; 马淑芳, 工程力学, 2001",36.4,cube,G3-2-2,328.95,29.621,0,90,90,1.5,45,700,15,15,218.6
2587,,low,2,216.3,218.6,2.3,217.45,0.010577,1.010633,36.4,cube,3521,"钢管混凝土偏心受压承载力的试验及理论研究, 赵均海; 顾强; 马淑芳, 工程力学, 2001",36.4,cube,G3-2-1,328.95,29.621,0,90,90,1.5,45,700,15,15,216.3
1474,,low,2,1983.0,2004.0,21.0,1993.5,0.010534,1.01059,88.14,Cube 100,3161,"圆钢管约束高强混凝土短柱的轴压力学性能, 刘界鹏; 张素梅; 郭兰慧, 哈尔滨工业大学学报, 2006",88.14,Cube 100,c-133-5-70-b,351,74.679,0,133.34,133.34,5.01,66.67,400.02,0,0,2004
1474,,low,2,1983.0,2004.0,21.0,1993.5,0.010534,1.01059,88.14,Cube 100,1935,"Axial compression test and analysis of circular tube confined HSC stub columns, Zhang Sumei; Liu Jiepeng; Ma Le; Xing Tao, CHINA CIVIL ENGINEERING JOURNAL, 2007",88.14,Cube 100,c-133-5-70-b,351,74.679,0,133.34,133.34,5.01,66.67,400.02,0,0,1983
45,,low,2,4921.0,4973.0,52.0,4947.0,0.010511,1.010567,80.5,Cylinder 150x300,57,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50S-2,485,80.5,0,200,200,6,0,695,0,0,4973
45,,low,2,4921.0,4973.0,52.0,4947.0,0.010511,1.010567,80.5,Cylinder 150x300,56,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",80.5,Cylinder 150x300,50S-1,485,80.5,0,200,200,6,0,695,0,0,4921
1698,,low,3,2714.6,2743.1,28.5,2730.6333,0.010437,1.010499,84.4,Cube 100x100x100mm,2229,"Researches on Behavior of High-Performance Concrete Filled Tubular Steel Short Columns, Z. W. Yu; F. X. Ding; S. Lin, Journal of Building Structures, 2002",84.4,Cube 100x100x100mm,G2-4.5a,338,71.206,0,165,165,3,82.5,500,0,0,2743.1
1698,,low,3,2714.6,2743.1,28.5,2730.6333,0.010437,1.010499,84.4,Cube 100x100x100mm,2228,"Researches on Behavior of High-Performance Concrete Filled Tubular Steel Short Columns, Z. W. Yu; F. X. Ding; S. Lin, Journal of Building Structures, 2002",84.4,Cube 100x100x100mm,G4-3c,338,71.206,0,165,165,3,82.5,500,0,0,2734.2
1698,,low,3,2714.6,2743.1,28.5,2730.6333,0.010437,1.010499,84.4,Cube 100x100x100mm,2227,"Researches on Behavior of High-Performance Concrete Filled Tubular Steel Short Columns, Z. W. Yu; F. X. Ding; S. Lin, Journal of Building Structures, 2002",84.4,Cube 100x100x100mm,G4-3b,338,71.206,0,165,165,3,82.5,500,0,0,2714.6
863,,low,2,3154.0,3187.0,33.0,3170.5,0.010408,1.010463,56.9,cube,1112,"方钢管橡胶混凝土短柱的轴压力学性能试验, 刘艳华; 梁力; 任庆新, Unknown, 2011",56.9,cube,sc2-1,380.6,48.511,0,200,200,3.72,0,600,0,0,3187
863,,low,2,3154.0,3187.0,33.0,3170.5,0.010408,1.010463,56.9,cube,1113,"方钢管橡胶混凝土短柱的轴压力学性能试验, 刘艳华; 梁力; 任庆新, Unknown, 2011",56.9,cube,sc2-2,380.6,48.511,0,200,200,3.72,0,600,0,0,3154
1357,,low,2,2012.0,2033.0,21.0,2022.5,0.010383,1.010437,25.4,Cylinder 100x200,1750,"Prediction of the squash loads of concrete-filled tubular section columns with local buckling, Young Bong Kwon; Sang Jung Seo; Doo Won Kang, Thin-Walled Structures, 2011",25.4,Cylinder 100x200,UC-78,265,24.272,0,251,251,3.2,125.5,1050,0,0,2033
1357,,low,2,2012.0,2033.0,21.0,2022.5,0.010383,1.010437,25.4,Cylinder 100x200,1751,"Prediction of the squash loads of concrete-filled tubular section columns with local buckling, Young Bong Kwon; Sang Jung Seo; Doo Won Kang, Thin-Walled Structures, 2011",25.4,Cylinder 100x200,UC-78a,265,24.272,0,251,251,3.2,125.5,1050,0,0,2012
43,,low,2,3452.0,3488.0,36.0,3470.0,0.010375,1.010429,38,Cylinder 150x300,52,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30S-1,485,38,0,200,200,6,0,695,0,0,3488
43,,low,2,3452.0,3488.0,36.0,3470.0,0.010375,1.010429,38,Cylinder 150x300,53,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",38,Cylinder 150x300,30S-2,485,38,0,200,200,6,0,695,0,0,3452
