group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
932,Y,high,2,517.0,1555.0,1038.0,1036.0,1.001931,3.007737,32,cylinder,1286,"STRENGTH OF CONCRETE FILLED STEEL BOX COLUMNNS INCORPORATING LOCAL BUCKLING, Brian Uy, Journal of Structural Engineering, 2000",32,cylinder,NS5,300,32,0,186,186,3,0,540,0,0,517
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,610,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-20,227.7,32.633,0,100,75,2.86,0,300,0,0,637
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,611,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-100,227.7,32.633,0,100,75,2.86,0,300,0,0,578
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,612,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-200,227.7,32.633,0,100,75,2.86,0,300,0,0,530
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,613,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-300,227.7,32.633,0,100,75,2.86,0,300,0,0,491
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,614,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-400-1,227.7,32.633,0,100,75,2.86,0,300,0,0,469
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,616,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-500,227.7,32.633,0,100,75,2.86,0,300,0,0,433
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,615,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-400-2,227.7,32.633,0,100,75,2.86,0,300,0,0,430
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,618,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-600-2,227.7,32.633,0,100,75,2.86,0,300,0,0,390
441,Y,high,12,230.0,637.0,407.0,428.5833,0.94964,2.769565,39.73,cube,617,"高温后不同截面钢管混凝土轴压构件的实验研究, 姜绍飞; 刘明, Unknown, 2002",39.73,cube,C-600-1,227.7,32.633,0,100,75,2.86,0,300,0,0,365
