Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA19,379,22.411,0,200,200,3.51,0,600,0,0,3134
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA20,379,22.411,0,200,200,3.51,0,600,0,0,3187
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA21,379,22.411,0,200,200,3.51,0,600,0,0,3086
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA22,318,22.411,0,150,150,2.64,0,450,0,0,1842
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA23,318,22.411,0,150,150,2.64,0,450,0,0,1583
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA24,350,22.411,0,250,250,4.49,0,750,0,0,4305
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SA25,350,22.411,0,250,250,4.49,0,750,0,0,3840
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE1,379,22.411,0,200,200,3.51,0,1600,40,40,1222
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE2,379,22.411,0,200,200,3.51,0,1600,40,40,1187
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE3,379,22.411,0,200,200,3.51,0,1600,40,40,1145
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE4,379,22.411,0,200,200,3.51,0,1600,40,40,1206
"Mechanical behavior of spiral stirrup reinforced concrete filled square steel tubular columns under compression, Zongping Chen; Ji Zhou; Chenggui Jing; Qiuhong Tan, Engineering Structures, 2021",28.3,cube,SE5,379,22.411,0,200,200,3.51,0,1600,40,40,1177
