group_id,suspicious,severity,group_size,label_min,label_max,label_range,label_mean,rel_range,max_min_ratio,fc_values_in_group,type_values_in_group,source_row,Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
1475,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,77.4,Cube 100,2027,"钢管超高强混凝土长柱及偏压柱的性能与极限承载能力的研究, 谭克锋; 蒲心诚, 建筑结构学报, 2000",77.4,Cube 100,DZ1-3,358,64.744,0,108,108,4.5,54,378,0,0,1518
4557,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,106.0273973,fcu100,6344,"Tan kefeng, Pu Xincheng, Study on the mechanical properties of steel extra-high strength concrete encased in steel tubes,Journal of Building Structures,1999(20):10-15.",106.0273973,fcu100,B-2,358,91.46049136,0,108,108,4.5,54,378,0,0,1578
4557,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,106.0273973,fcu100,6343,"Tan kefeng, Pu Xincheng, Study on the mechanical properties of steel extra-high strength concrete encased in steel tubes,Journal of Building Structures,1999(20):10-15.",106.0273973,fcu100,B-1,358,91.46049136,0,108,108,4.5,54,378,0,0,1535
4557,,low,3,1518.0,1578.0,60.0,1543.6667,0.038868,1.039526,106.0273973,fcu100,6345,"Tan kefeng, Pu Xincheng, Study on the mechanical properties of steel extra-high strength concrete encased in steel tubes,Journal of Building Structures,1999(20):10-15.",106.0273973,fcu100,B-3,358,91.46049136,0,108,108,4.5,54,378,0,0,1518
3189,,low,2,3043.8,3164.4,120.6,3104.1,0.038852,1.039622,122,fcu100,4473,"Journal of Constructional Steel Research | Behavior of steel reinforced UHPC-filled stainless steel tubular columns under eccentric loads | Chuangchuang Wu, Feiran Fan, Zhan Cheng, Guofeng Du, Tianyi Zhang | 2023",122,fcu100,SR-12-CE-9,433,106.6596098,0,180,180,5,90,1200,20,20,3164.4
3189,,low,2,3043.8,3164.4,120.6,3104.1,0.038852,1.039622,122,fcu100,4480,"Journal of Constructional Steel Research | Behavior of steel reinforced UHPC-filled stainless steel tubular columns under eccentric loads | Chuangchuang Wu, Feiran Fan, Zhan Cheng, Guofeng Du, Tianyi Zhang | 2023",122,fcu100,SR-10-CE-6,433,106.6596098,0,180,180,5,90,1200,20,20,3043.8
70,,low,2,406.0,422.0,16.0,414.0,0.038647,1.039409,81,cube,112,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SC1-1,404,71.543,0,60,60,2,0,180,0,0,422
70,,low,2,406.0,422.0,16.0,414.0,0.038647,1.039409,81,cube,113,"Tests and calculations for hollow structural steel (HSS) stub columns filled with self-consolidating concrete (SCC), Lin-Hai Han; Guo-Huang Yao; Xiao-Ling Zhao, Unknown, 2005",81,cube,SC1-2,404,71.543,0,60,60,2,0,180,0,0,406
2605,,low,2,2869.0,2982.0,113.0,2925.5,0.038626,1.039387,141.2,cylinder,3660,"Tests and analysis on circular UHPFRC-filled steel tubular stub columns under eccentric compression, Jia-Bao Yan; Anzhen Chen; Jin-Song Zhu, Journal of Constructional Steel Research, 2021",141.2,cylinder,CC8-0-1,396,141.2,0,133,133,7.7,66.5,600,0,0,2982
2605,,low,2,2869.0,2982.0,113.0,2925.5,0.038626,1.039387,141.2,cylinder,3661,"Tests and analysis on circular UHPFRC-filled steel tubular stub columns under eccentric compression, Jia-Bao Yan; Anzhen Chen; Jin-Song Zhu, Journal of Constructional Steel Research, 2021",141.2,cylinder,CC8-0-2,396,141.2,0,133,133,7.7,66.5,600,0,0,2869
1149,,low,2,1270.0,1320.0,50.0,1295.0,0.03861,1.03937,34.5,prism,1543,"不同截面形式方形薄壁钢管混凝土长柱的静力试验研究, 陈勇; 张耀春; 董志君, Unknown, 2005",34.5,prism,LC200-5-2,373.1,34.5,0,200,200,1.25,0,1959,40,40,1320
1149,,low,2,1270.0,1320.0,50.0,1295.0,0.03861,1.03937,34.5,prism,1534,"不同截面形式方形薄壁钢管混凝土长柱的静力试验研究, 陈勇; 张耀春; 董志君, Unknown, 2005",34.5,prism,LC200-2-2,373.1,34.5,0,200,200,1.25,0,1959,40,40,1270
2668,,low,2,204.0,212.0,8.0,208.0,0.038462,1.039216,35.46,Cube 150,3762,"Structural response of thin-walled circular steel tubular columns filled with demolished concrete lumps and fresh concrete, Xin-Yu Zhao; Bo Wu; Long Wang, Unknown, 2016",35.46,Cube 150,T0.8-E60-R40-B,272.4,28.776,40,160,160,0.8,80,1600,60,60,212
2668,,low,2,204.0,212.0,8.0,208.0,0.038462,1.039216,35.46,Cube 150,3761,"Structural response of thin-walled circular steel tubular columns filled with demolished concrete lumps and fresh concrete, Xin-Yu Zhao; Bo Wu; Long Wang, Unknown, 2016",35.46,Cube 150,T0.8-E60-R40-A,272.4,28.776,40,160,160,0.8,80,1600,60,60,204
784,,low,2,842.0,875.0,33.0,858.5,0.038439,1.039192,46.7,Cube 150,1087,"Experimental behaviour of recycled aggregate concrete filled steel tubular columns, You-Fu Yang; Lin-Hai Han, Journal of Constructional Steel Research, 2006",46.7,Cube 150,SB1-2,344.4,39.014,25,150,150,2.94,0,1732,20,20,875
784,,low,2,842.0,875.0,33.0,858.5,0.038439,1.039192,46.7,Cube 150,1086,"Experimental behaviour of recycled aggregate concrete filled steel tubular columns, You-Fu Yang; Lin-Hai Han, Journal of Constructional Steel Research, 2006",46.7,Cube 150,SB1-1,344.4,39.014,25,150,150,2.94,0,1732,20,20,842
47,,low,3,6060.0,6298.0,238.0,6192.0,0.038437,1.039274,112.1,Cylinder 150x300,62,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-2,485,112.1,0,200,200,6,0,695,0,0,6298
47,,low,3,6060.0,6298.0,238.0,6192.0,0.038437,1.039274,112.1,Cylinder 150x300,63,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-3,485,112.1,0,200,200,6,0,695,0,0,6218
47,,low,3,6060.0,6298.0,238.0,6192.0,0.038437,1.039274,112.1,Cylinder 150x300,61,"Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression, Jiong-Yi Zhu; Tak-Ming Chan, Journal of Constructional Steel Research, 2018",112.1,Cylinder 150x300,80S-1,485,112.1,0,200,200,6,0,695,0,0,6060
49,,low,2,1022.0,1062.0,40.0,1042.0,0.038388,1.039139,10,cube,66,"Failure of lightweight aggregate concrete-filled steel tubular columns, Shehdeh Ghannam; Yahia Abdel Jawad; Yasser Hunaiti, Unknown, 2004",10,cube,C3-LW,360,7.015,0,200,100,5,0,2000,0,0,1062
