b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),eta_u,r,b/h,L/h,axial_flag,section_family
150.0,150.0,0.0,2.5,0.0,325.0,20.6,450.0,0.0,0.0,979.0,0.0,60.0,21025.0,1450.0,81.80748961442467,2.7739190519051675,0.33333333333333337,1.0880482089052559,3.673354343301345,10.386529738079027,0.10859005476914324,0.0,0.0,0.0,904.365,1.0825275193091284,0.08252751930912838,1.0,3.0,axial,square
200.0,200.0,0.0,2.5,0.0,325.0,20.6,600.0,0.0,0.0,1366.0,0.0,80.0,38025.0,1950.0,110.01696879181247,2.785680557380715,0.33333333333333337,0.8090614886731392,2.7430501285122633,10.389056742553676,0.11110030016673568,0.0,0.0,0.0,1417.065,0.9639642500520441,-0.036035749947955886,1.0,3.0,axial,square
200.0,200.0,0.0,2.5,0.0,325.0,20.6,600.0,0.0,0.0,1423.0,0.0,80.0,38025.0,1950.0,110.01696879181247,2.785680557380715,0.33333333333333337,0.8090614886731392,2.7430501285122633,10.389056742553676,0.11110030016673568,0.0,0.0,0.0,1417.065,1.0041882341318147,0.004188234131814683,1.0,3.0,axial,square
250.0,250.0,0.0,2.5,0.0,325.0,20.6,750.0,0.0,0.0,2031.0,0.0,100.0,60025.0,2450.0,138.22644796920028,2.7927356170491464,0.33333333333333337,0.6439468991480087,2.1887732988774418,10.390226176556505,0.11315165541372094,0.0,0.0,0.0,2032.765,0.9991317245230019,-0.0008682754769980816,1.0,3.0,axial,square
250.0,250.0,0.0,2.5,0.0,325.0,20.6,750.0,0.0,0.0,2093.0,0.0,100.0,60025.0,2450.0,138.22644796920028,2.7927356170491464,0.33333333333333337,0.6439468991480087,2.1887732988774418,10.390226176556505,0.11315165541372094,0.0,0.0,0.0,2032.765,1.0296320528934726,0.029632052893472594,1.0,3.0,axial,square
100.0,50.0,0.0,3.2,0.0,372.0,66.0,300.0,0.0,0.0,716.0,0.0,31.25,4080.96,878.0799999999999,36.04178010477011,3.6887051424662403,0.33333333333333337,1.2127485155008089,12.690811506429375,20.69930085775846,0.2376616499778138,0.0,0.0,0.0,595.9891199999998,1.2013642128232143,0.20136421282321426,2.0,6.0,axial,rectangular
100.0,50.0,0.0,3.2,0.0,372.0,56.0,300.0,0.0,0.0,649.0,0.0,31.25,4080.96,878.0799999999999,36.04178010477011,3.6887051424662403,0.33333333333333337,1.4293107504116676,12.690811506429375,20.69930085775846,0.23078570953366845,0.0,0.0,0.0,555.17952,1.1689912480921485,0.1689912480921485,2.0,6.0,axial,rectangular
100.0,50.0,0.0,3.2,0.0,372.0,66.0,1000.0,0.0,0.0,639.0,0.0,31.25,4080.96,878.0799999999999,36.04178010477011,3.6887051424662403,0.33333333333333337,1.2127485155008089,12.690811506429375,68.99766952586153,0.792205499926046,0.0,0.0,0.0,595.9891199999998,1.0721672234553545,0.07216722345535453,2.0,20.0,axial,rectangular
100.0,50.0,0.0,3.2,0.0,372.0,56.0,1000.0,0.0,0.0,631.0,0.0,31.25,4080.96,878.0799999999999,36.04178010477011,3.6887051424662403,0.33333333333333337,1.4293107504116676,12.690811506429375,68.99766952586153,0.7692856984455614,0.0,0.0,0.0,555.17952,1.1365693028446004,0.13656930284460045,2.0,20.0,axial,rectangular
100.0,100.0,0.0,3.2,0.0,351.0,66.0,300.0,0.0,0.0,1217.0,0.0,31.25,8760.96,1198.08,52.808145020069986,3.4951487459240127,0.33333333333333337,0.7272727272727272,7.743737317750753,10.370999566097762,0.1292017946295476,0.0,0.0,0.0,998.7494399999999,1.218523837169811,0.21852383716981105,1.0,3.0,axial,square
100.0,100.0,0.0,3.2,0.0,351.0,56.0,300.0,0.0,0.0,1013.0,0.0,31.25,8760.96,1198.08,52.808145020069986,3.4951487459240127,0.33333333333333337,0.8571428571428571,7.743737317750753,10.370999566097762,0.12473316867432782,0.0,0.0,0.0,911.1398399999998,1.1117942115230086,0.11179421152300861,1.0,3.0,axial,square
100.0,100.0,0.0,3.2,0.0,351.0,66.0,1000.0,0.0,0.0,1204.0,0.0,31.25,8760.96,1198.08,52.808145020069986,3.4951487459240127,0.33333333333333337,0.7272727272727272,7.743737317750753,34.56999855365921,0.4306726487651586,0.0,0.0,0.0,998.7494399999999,1.2055075595336504,0.2055075595336504,1.0,10.0,axial,square
100.0,100.0,0.0,3.2,0.0,351.0,56.0,1000.0,0.0,0.0,768.0,0.0,31.25,8760.96,1198.08,52.808145020069986,3.4951487459240127,0.33333333333333337,0.8571428571428571,7.743737317750753,34.56999855365921,0.41577722891442603,0.0,0.0,0.0,911.1398399999998,0.842900251184275,-0.15709974881572497,1.0,10.0,axial,square
50.0,50.0,0.0,1.6,0.0,365.0,66.0,300.0,0.0,0.0,266.0,0.0,31.25,2190.24,299.52,26.404072510034993,1.7475743729620064,0.33333333333333337,0.7562807562807562,8.052604333273575,20.741999132195524,0.26056438557212336,0.0,0.0,0.0,253.88063999999997,1.0477364481198725,0.04773644811987254,1.0,6.0,axial,square
50.0,50.0,0.0,1.6,0.0,365.0,56.0,300.0,0.0,0.0,202.0,0.0,31.25,2190.24,299.52,26.404072510034993,1.7475743729620064,0.33333333333333337,0.8913308913308913,8.052604333273575,20.741999132195524,0.25175207143844636,0.0,0.0,0.0,231.97824,0.8707713275176154,-0.12922867248238457,1.0,6.0,axial,square
50.0,50.0,0.0,1.6,0.0,365.0,66.0,1000.0,0.0,0.0,309.0,0.0,31.25,2190.24,299.52,26.404072510034993,1.7475743729620064,0.33333333333333337,0.7562807562807562,8.052604333273575,69.13999710731842,0.8685479519070778,0.0,0.0,0.0,253.88063999999997,1.2171073777031602,0.21710737770316024,1.0,20.0,axial,square
50.0,50.0,0.0,1.6,0.0,365.0,56.0,1000.0,0.0,0.0,225.0,0.0,31.25,2190.24,299.52,26.404072510034993,1.7475743729620064,0.33333333333333337,0.8913308913308913,8.052604333273575,69.13999710731842,0.8391735714614877,0.0,0.0,0.0,231.97824,0.9699185578785321,-0.030081442121467905,1.0,20.0,axial,square
114.0,114.0,57.0,4.8,0.0,333.0,66.0,300.0,0.0,0.0,1410.0,0.5,23.75,8560.337326207613,2454.422794694374,52.2,7.012389247741623,1.0,1.4466344226932673,44.73420727007587,10.934882594227446,0.14031793727852024,0.0,0.0,0.0,1382.3050541629289,1.0200353357268466,0.02003533572684657,1.0,2.6315789473684212,axial,circular
114.0,114.0,57.0,4.8,0.0,333.0,56.0,300.0,0.0,0.0,1229.0,0.5,23.75,8560.337326207613,2454.422794694374,52.2,7.012389247741623,1.0,1.704961998174208,44.73420727007587,10.934882594227446,0.13703603328485134,0.0,0.0,0.0,1296.7016809008528,0.9477893166192098,-0.05221068338079016,1.0,2.6315789473684212,axial,circular
114.0,114.0,57.0,4.8,0.0,333.0,66.0,1000.0,0.0,0.0,1511.0,0.5,23.75,8560.337326207613,2454.422794694374,52.2,7.012389247741623,1.0,1.4466344226932673,44.73420727007587,36.44960864742482,0.4677264575950675,0.0,0.0,0.0,1382.3050541629289,1.093101696654798,0.09310169665479795,1.0,8.771929824561404,axial,circular
114.0,114.0,57.0,4.8,0.0,333.0,56.0,1000.0,0.0,0.0,1111.0,0.5,23.75,8560.337326207613,2454.422794694374,52.2,7.012389247741623,1.0,1.704961998174208,44.73420727007587,36.44960864742482,0.4567867776161711,0.0,0.0,0.0,1296.7016809008528,0.8567892032253395,-0.14321079677466053,1.0,8.771929824561404,axial,circular
111.0,111.0,0.0,3.0,0.0,723.7,150.0,333.0,0.0,0.0,2437.0,0.0,37.0,11025.0,1260.0,59.23990627251441,3.2935803707863016,0.33333333333333337,0.5513904761904762,13.411928232821165,10.3771114091521,0.18210392245320395,0.0,0.0,0.0,2565.612,0.9498708300397721,-0.05012916996022787,1.0,3.0,axial,square
126.0,126.0,0.0,3.0,0.0,723.7,150.0,378.0,0.0,0.0,2918.0,0.0,42.0,14400.0,1440.0,67.70275002573075,3.3044932467076222,0.33333333333333337,0.4824666666666667,11.774321140246249,10.380515499762828,0.18435825682021023,0.0,0.0,0.0,3202.128,0.9112690061109362,-0.0887309938890638,1.0,3.0,axial,square
141.0,141.0,0.0,3.0,0.0,723.7,150.0,423.0,0.0,0.0,3131.0,0.0,47.0,18225.0,1620.0,76.1655937789471,3.313080664687945,0.33333333333333337,0.4288592592592593,10.493261493693,10.382891523875204,0.1863496819247047,0.0,0.0,0.0,3906.144,0.8015577510711331,-0.19844224892886686,1.0,3.0,axial,square
